EpNum	EpSteps	Reward	ener
3146	6	98	291.1391052
3147	6	98	269.6
3148	6	98	269.6
3149	6	98	269.6
3150	7	98	279.2
3151	8	97	288.8
3152	6	98	291.1391052
3153	5	99	260.6782105
3154	7	97	300.7391052
3155	6	98	291.1391052
3156	18	76	596.8
3157	6	99	291.1391052
3158	7	97	300.7391052
3159	6	98	291.1391052
3160	6	98	291.1391052
3161	6	98	291.1391052
3162	6	98	291.1391052
3163	7	99	300.7391052
3164	8	97	352.7391052
3165	7	97	300.7391052
3166	6	98	291.1391052
3167	18	76	406.3391052
3168	7	99	343.1391052
3169	7	98	343.1391052
3170	7	98	300.7391052
3171	6	99	291.1391052
3172	6	98	291.1391052
3173	6	99	291.1391052
3174	14	93	452.7391052
3175	6	98	291.1391052
3176	8	98	310.3391052
3177	10	94	499.8173157
3178	16	89	683.9391052
3179	6	98	291.1391052
3180	7	98	300.7391052
3181	7	98	300.7391052
3182	7	98	343.1391052
3183	6	98	291.1391052
3184	18	76	406.3391052
3185	9	98	319.9391052
3186	7	98	300.7391052
3187	7	97	300.7391052
3188	6	98	291.1391052
3189	8	98	310.3391052
3190	6	99	291.1391052
3191	6	98	291.1391052
3192	8	97	288.8
3193	7	98	300.7391052
3194	7	98	300.7391052
3195	7	98	279.2
3196	6	98	291.1391052
3197	7	98	300.7391052
3198	8	97	288.8
3199	6	99	291.1391052
3200	7	98	300.7391052
3201	12	93	497.4782105
3202	6	98	291.1391052
3203	6	98	291.1391052
3204	18	77	575.9391052
3205	6	98	291.1391052
3206	6	98	291.1391052
3207	6	99	291.1391052
3208	7	98	300.7391052
3209	6	98	291.1391052
3210	6	98	291.1391052
3211	6	99	291.1391052
3212	6	98	291.1391052
3213	6	98	291.1391052
3214	6	99	291.1391052
3215	8	98	310.3391052
3216	13	93	358.3391052
3217	9	97	319.9391052
3218	7	99	300.7391052
3219	7	98	300.7391052
3220	8	97	352.7391052
3221	8	99	310.3391052
3222	6	98	291.1391052
3223	6	98	291.1391052
3224	6	98	291.1391052
3225	7	97	300.7391052
3226	8	98	374.2782105
3227	16	89	514.3391052
3228	6	98	291.1391052
3229	9	97	319.9391052
3230	7	97	364.6782105
3231	6	98	291.1391052
3232	7	98	300.7391052
3233	8	96	416.6782105
3234	7	97	364.6782105
3235	6	99	291.1391052
3236	7	98	343.1391052
3237	6	99	291.1391052
3238	6	98	291.1391052
3239	10	96	329.5391052
3240	6	98	291.1391052
3241	7	98	300.7391052
3242	9	97	426.2782105
3243	8	97	288.8
3244	6	99	291.1391052
3245	7	98	300.7391052
3246	7	98	300.7391052
3247	6	98	291.1391052
3248	8	98	310.3391052
3249	6	98	291.1391052
3250	7	99	300.7391052
3251	6	98	291.1391052
3252	7	99	300.7391052
3253	9	97	362.3391052
3254	6	98	291.1391052
3255	6	98	291.1391052
3256	6	98	291.1391052
3257	7	98	300.7391052
3258	6	98	291.1391052
3259	7	98	300.7391052
3260	6	98	291.1391052
3261	7	98	343.1391052
3262	7	99	300.7391052
3263	8	97	352.7391052
3264	12	94	348.7391052
3265	6	98	291.1391052
3266	10	95	308
3267	6	98	291.1391052
3268	6	98	291.1391052
3269	6	98	291.1391052
3270	6	98	291.1391052
3271	18	78	555.0782105
3272	6	98	291.1391052
3273	11	95	360
3274	6	98	291.1391052
3275	9	96	319.9391052
3276	6	99	291.1391052
3277	7	99	300.7391052
3278	8	97	310.3391052
3279	6	98	291.1391052
3280	9	96	468.6782105
3281	6	98	291.1391052
3282	6	98	291.1391052
3283	6	98	291.1391052
3284	6	98	291.1391052
3285	6	99	291.1391052
3286	6	98	291.1391052
3287	6	98	291.1391052
3288	6	98	291.1391052
3289	6	98	291.1391052
3290	7	98	300.7391052
3291	8	98	310.3391052
3292	6	98	291.1391052
3293	6	98	291.1391052
3294	8	96	331.2
3295	6	98	291.1391052
3296	6	98	291.1391052
3297	7	97	300.7391052
3298	8	97	288.8
3299	6	98	291.1391052
3300	10	95	308
3301	6	99	291.1391052
3302	8	97	310.3391052
3303	7	98	300.7391052
3304	16	91	387.1391052
3305	7	97	300.7391052
3306	8	97	310.3391052
3307	8	98	310.3391052
3308	18	65	619.0173157
3309	7	97	300.7391052
3310	6	98	291.1391052
3311	18	77	555.0782105
3312	6	99	291.1391052
3313	13	94	379.2
3314	7	97	300.7391052
3315	6	98	291.1391052
3316	6	99	291.1391052
3317	8	97	310.3391052
3318	7	98	300.7391052
3319	6	98	291.1391052
3320	7	98	300.7391052
3321	6	98	291.1391052
3322	6	98	291.1391052
3323	6	99	291.1391052
3324	7	98	300.7391052
3325	6	98	291.1391052
3326	10	97	329.5391052
3327	14	91	431.8782105
3328	9	97	319.9391052
3329	6	98	291.1391052
3330	6	98	291.1391052
3331	12	95	454.4
3332	8	97	374.2782105
3333	7	98	300.7391052
3334	6	98	291.1391052
3335	6	99	291.1391052
3336	8	97	288.8
3337	6	98	291.1391052
3338	6	98	291.1391052
3339	6	99	291.1391052
3340	6	98	291.1391052
3341	6	98	291.1391052
3342	15	92	504.7391052
3343	6	98	291.1391052
3344	8	98	310.3391052
3345	8	97	288.8
3346	18	76	534.2173157
3347	6	98	291.1391052
3348	6	98	291.1391052
3349	7	98	300.7391052
3350	6	98	291.1391052
3351	8	97	352.7391052
3352	6	98	291.1391052
3353	9	97	340.8
3354	6	98	291.1391052
3355	8	96	288.8
3356	7	98	300.7391052
3357	7	97	279.2
3358	6	98	269.6
3359	6	98	291.1391052
3360	7	98	300.7391052
3361	7	98	300.7391052
3362	7	97	300.7391052
3363	6	98	269.6
3364	18	89	512
3365	10	95	308
3366	6	98	291.1391052
3367	8	97	310.3391052
3368	6	98	291.1391052
3369	8	97	395.1391052
3370	7	98	300.7391052
3371	7	98	279.2
3372	6	98	291.1391052
3373	6	98	291.1391052
3374	7	99	300.7391052
3375	8	97	352.7391052
3376	6	98	291.1391052
3377	6	98	291.1391052
3378	8	96	288.8
3379	6	98	291.1391052
3380	18	76	534.2173157
3381	6	98	291.1391052
3382	6	98	291.1391052
3383	6	98	291.1391052
3384	18	65	576.6173157
3385	7	98	300.7391052
3386	6	98	269.6
3387	10	96	392.8
3388	6	98	269.6
3389	6	98	291.1391052
3390	6	98	291.1391052
3391	6	98	291.1391052
3392	7	98	279.2
3393	7	98	300.7391052
3394	6	99	291.1391052
3395	7	98	300.7391052
3396	6	98	291.1391052
3397	7	98	300.7391052
3398	6	99	291.1391052
3399	6	98	291.1391052
3400	18	76	745.5391052
3401	6	98	269.6
3402	7	97	279.2
3403	7	98	279.2
3404	6	98	269.6
3405	6	98	269.6
3406	8	97	373.6
3407	6	98	269.6
3408	7	98	279.2
3409	7	97	279.2
3410	7	97	279.2
3411	9	97	298.4
3412	7	97	279.2
3413	7	97	279.2
3414	6	98	269.6
3415	6	98	269.6
3416	7	98	343.1391052
3417	6	98	269.6
3418	8	97	373.6
3419	8	97	288.8
3420	7	98	279.2
3421	7	97	279.2
3422	7	97	279.2
3423	7	97	279.2
3424	7	98	279.2
3425	6	98	269.6
3426	7	98	279.2
3427	7	98	279.2
3428	6	98	269.6
3429	6	98	269.6
3430	6	98	269.6
3431	6	98	269.6
3432	7	97	279.2
3433	6	98	269.6
3434	11	94	402.4
3435	8	97	288.8
3436	6	98	269.6
3437	7	98	279.2
3438	8	97	373.6
3439	6	98	269.6
3440	8	96	288.8
3441	8	97	373.6
3442	8	97	288.8
3443	7	98	279.2
3444	8	97	373.6
3445	6	98	269.6
3446	18	76	660.7391052
3447	6	98	269.6
3448	9	96	383.2
3449	7	97	279.2
3450	7	98	279.2
3451	8	97	288.8
3452	7	97	279.2
3453	7	97	279.2
3454	6	98	269.6
3455	6	98	269.6
3456	6	98	269.6
3457	11	96	360
3458	6	98	269.6
3459	8	97	373.6
3460	6	98	269.6
3461	18	76	491.1391052
3462	6	98	269.6
3463	6	98	269.6
3464	7	97	279.2
3465	7	97	279.2
3466	6	98	269.6
3467	7	97	279.2
3468	6	98	269.6
3469	6	98	269.6
3470	6	98	269.6
3471	6	98	269.6
3472	6	98	291.1391052
3473	7	97	300.7391052
3474	9	96	383.2
3475	7	97	279.2
3476	7	98	300.7391052
3477	7	97	300.7391052
3478	6	98	269.6
3479	6	98	269.6
3480	6	98	269.6
3481	8	96	288.8
3482	6	98	269.6
3483	7	98	279.2
3484	8	97	288.8
3485	6	98	269.6
3486	7	98	279.2
3487	6	98	269.6
3488	8	98	374.2782105
3489	6	98	269.6
3490	6	98	269.6
3491	6	98	269.6
3492	7	98	300.7391052
3493	6	98	291.1391052
3494	7	99	300.7391052
3495	6	98	291.1391052
3496	6	99	291.1391052
3497	7	98	300.7391052
3498	8	98	352.7391052
3499	7	99	300.7391052
3500	6	98	291.1391052
3501	7	97	279.2
3502	6	99	291.1391052
3503	7	99	300.7391052
3504	11	94	487.8782105
3505	6	99	291.1391052
3506	7	98	300.7391052
3507	18	76	681.6
3508	6	98	291.1391052
3509	9	96	298.4
3510	6	98	291.1391052
3511	11	96	403.0782105
3512	6	98	291.1391052
3513	8	98	310.3391052
3514	6	98	291.1391052
3515	6	98	291.1391052
3516	6	98	269.6
3517	6	98	269.6
3518	7	97	300.7391052
3519	7	98	300.7391052
3520	7	98	300.7391052
3521	6	98	291.1391052
3522	6	98	291.1391052
3523	7	99	300.7391052
3524	8	97	288.8
3525	6	98	291.1391052
3526	7	98	300.7391052
3527	18	76	639.8782105
3528	8	97	288.8
3529	6	99	291.1391052
3530	9	94	277.5391052
3531	6	98	291.1391052
3532	6	98	291.1391052
3533	6	98	291.1391052
3534	7	98	300.7391052
3535	7	98	300.7391052
3536	7	98	343.1391052
3537	6	98	291.1391052
3538	6	99	291.1391052
3539	6	98	291.1391052
3540	6	99	291.1391052
3541	6	98	291.1391052
3542	7	98	300.7391052
3543	8	98	352.7391052
3544	7	98	300.7391052
3545	18	76	639.8782105
3546	7	97	300.7391052
3547	6	99	291.1391052
3548	6	99	291.1391052
3549	7	97	300.7391052
3550	14	91	431.2
3551	6	98	291.1391052
3552	8	96	352.7391052
3553	9	96	298.4
3554	6	99	291.1391052
3555	8	97	310.3391052
3556	7	98	300.7391052
3557	6	99	291.1391052
3558	6	99	291.1391052
3559	6	99	291.1391052
3560	6	98	291.1391052
3561	7	99	343.1391052
3562	6	99	291.1391052
3563	7	98	300.7391052
3564	8	97	310.3391052
3565	6	99	291.1391052
3566	11	94	423.9391052
3567	16	89	429.5391052
3568	7	97	300.7391052
3569	6	98	291.1391052
3570	8	98	352.7391052
3571	9	96	447.8173157
3572	6	98	291.1391052
3573	6	99	291.1391052
3574	7	99	300.7391052
3575	13	92	422.2782105
3576	8	97	310.3391052
3577	7	99	300.7391052
3578	7	98	300.7391052
3579	8	97	310.3391052
3580	7	98	300.7391052
3581	6	99	291.1391052
3582	6	98	291.1391052
3583	6	98	291.1391052
3584	7	99	300.7391052
3585	6	99	291.1391052
3586	7	98	300.7391052
3587	7	98	300.7391052
3588	6	98	291.1391052
3589	6	99	291.1391052
3590	7	98	300.7391052
3591	7	97	300.7391052
3592	6	98	291.1391052
3593	7	99	300.7391052
3594	6	98	291.1391052
3595	8	98	352.7391052
3596	7	98	343.1391052
3597	8	97	310.3391052
3598	6	98	291.1391052
3599	10	95	308
3600	6	99	291.1391052
3601	11	93	487.8782105
3602	7	98	300.7391052
3603	6	99	291.1391052
3604	6	99	291.1391052
3605	6	98	291.1391052
3606	6	98	269.6
3607	6	98	269.6
3608	7	98	279.2
3609	7	97	279.2
3610	7	97	279.2
3611	7	98	300.7391052
3612	7	99	300.7391052
3613	15	91	610.4
3614	6	98	269.6
3615	8	97	288.8
3616	7	97	279.2
3617	6	98	269.6
3618	11	95	360
3619	6	98	269.6
3620	6	98	269.6
3621	9	96	298.4
3622	6	98	269.6
3623	9	96	298.4
3624	7	98	279.2
3625	6	98	269.6
3626	8	97	288.8
3627	6	98	269.6
3628	6	98	269.6
3629	7	98	279.2
3630	9	96	383.2
3631	7	98	279.2
3632	7	98	279.2
3633	6	98	269.6
3634	7	98	279.2
3635	8	97	373.6
3636	7	97	279.2
3637	6	99	291.1391052
3638	8	98	352.7391052
3639	8	97	288.8
3640	7	97	279.2
3641	7	97	279.2
3642	10	95	329.5391052
3643	9	96	383.2
3644	6	98	269.6
3645	7	98	279.2
3646	7	98	279.2
3647	6	98	269.6
3648	7	98	279.2
3649	6	98	269.6
3650	6	99	269.6
3651	6	98	269.6
3652	6	98	269.6
3653	6	98	269.6
3654	15	90	525.6
3655	11	96	487.2
3656	7	97	279.2
3657	7	98	279.2
3658	6	98	269.6
3659	8	97	288.8
3660	8	97	373.6
3661	6	98	269.6
3662	14	92	388.8
3663	7	97	321.6
3664	6	98	269.6
3665	8	97	373.6
3666	6	98	269.6
3667	6	98	269.6
3668	6	98	269.6
3669	16	89	663.0782105
3670	6	98	269.6
3671	10	96	350.4
3672	6	98	291.1391052
3673	8	96	288.8
3674	6	98	291.1391052
3675	6	99	291.1391052
3676	6	98	269.6
3677	8	96	267.9391052
3678	6	98	269.6
3679	7	97	279.2
3680	7	97	279.2
3681	6	98	269.6
3682	7	97	279.2
3683	7	98	279.2
3684	7	97	279.2
3685	7	97	279.2
3686	6	98	291.1391052
3687	8	97	310.3391052
3688	7	97	279.2
3689	8	97	288.8
3690	6	98	291.1391052
