TS	X	Y	Direction	Line_Man	Column_Man
409	20.943142119375988	13.686825125158702	0	2.0	5.0
410	20.943142119375988	13.686825125158702	0	2.0	5.0
411	20.943142119375988	13.686825125158702	0	2.0	5.0
412	20.943142119375988	13.686825125158702	0	2.0	5.0
413	20.943142119375988	13.686825125158702	0	2.0	5.0
414	20.943142119375988	13.686825125158702	0	2.0	5.0
415	20.943142119375988	13.686825125158702	0	2.0	5.0
416	20.943142119375988	13.686825125158702	0	2.0	5.0
417	20.943142119375988	13.686825125158702	0	2.0	5.0
418	20.943142119375988	13.686825125158702	0	2.0	5.0
419	20.943142119375988	13.686825125158702	0	2.0	5.0
420	20.943142119375988	13.686825125158702	0	2.0	5.0
421	20.943142119375988	13.686825125158702	0	2.0	5.0
422	20.943142119375988	13.686825125158702	0	2.0	5.0
423	20.943142119375988	13.686825125158702	0	2.0	5.0
424	20.943142119375988	13.686825125158702	0	2.0	5.0
425	20.943142119375988	13.686825125158702	0	2.0	5.0
426	20.943142119375988	13.686825125158702	0	2.0	5.0
427	20.943142119375988	13.686825125158702	0	2.0	5.0
428	20.943142119375988	13.686825125158702	0	2.0	5.0
429	20.943142119375988	13.686825125158702	0	2.0	5.0
430	20.943142119375988	13.686825125158702	0	2.0	5.0
431	20.943142119375988	13.686825125158702	0	2.0	5.0
432	20.943142119375988	13.686825125158702	0	2.0	5.0
433	20.943142119375988	13.686825125158702	0	2.0	5.0
434	20.943142119375988	13.686825125158702	0	2.0	5.0
435	20.943142119375988	13.686825125158702	0	2.0	5.0
436	20.943142119375988	13.686825125158702	0	2.0	5.0
437	20.943142119375988	13.686825125158702	0	2.0	5.0
438	20.943142119375988	13.686825125158702	0	2.0	5.0
439	20.943142119375988	13.686825125158702	0	2.0	5.0
440	20.943142119375988	13.686825125158702	0	2.0	5.0
441	20.943142119375988	13.686825125158702	0	2.0	5.0
442	20.943142119375988	13.686825125158702	0	2.0	5.0
443	20.943142119375988	13.686825125158702	0	2.0	5.0
444	20.943142119375988	13.686825125158702	0	2.0	5.0
445	20.943142119375988	13.686825125158702	0	2.0	5.0
446	20.943142119375988	13.686825125158702	0	2.0	5.0
447	20.943142119375988	13.686825125158702	0	2.0	5.0
448	20.943142119375988	13.686825125158702	0	2.0	5.0
449	20.943142119375988	13.686825125158702	0	2.0	5.0
450	20.943142119375988	13.686825125158702	0	2.0	5.0
451	20.943142119375988	13.686825125158702	0	2.0	5.0
452	20.943142119375988	13.686825125158702	0	2.0	5.0
453	20.943142119375988	13.686825125158702	0	2.0	5.0
454	20.943142119375988	13.686825125158702	0	2.0	5.0
455	20.943142119375988	13.686825125158702	0	2.0	5.0
456	20.943142119375988	13.686825125158702	0	2.0	5.0
457	20.943142119375988	13.686825125158702	0	2.0	5.0
458	20.943142119375988	13.686825125158702	0	2.0	5.0
459	20.943142119375988	13.686825125158702	0	2.0	5.0
460	20.943142119375988	13.686825125158702	0	2.0	5.0
461	20.943142119375988	13.686825125158702	0	2.0	5.0
462	20.943142119375988	13.686825125158702	0	2.0	5.0
463	20.943142119375988	13.686825125158702	0	2.0	5.0
464	20.943142119375988	13.686825125158702	0	2.0	5.0
465	20.943142119375988	13.686825125158702	0	2.0	5.0
466	20.943142119375988	13.686825125158702	0	2.0	5.0
467	20.943142119375988	13.686825125158702	0	2.0	5.0
468	20.943142119375988	13.686825125158702	0	2.0	5.0
469	20.943142119375988	13.686825125158702	0	2.0	5.0
470	20.943142119375988	13.686825125158702	0	2.0	5.0
471	20.943142119375988	13.686825125158702	0	2.0	5.0
472	20.943142119375988	13.686825125158702	0	2.0	5.0
473	20.943142119375988	13.686825125158702	0	2.0	5.0
474	20.943142119375988	13.686825125158702	0	2.0	5.0
475	20.943142119375988	13.686825125158702	0	2.0	5.0
476	20.943142119375988	13.686825125158702	0	2.0	5.0
477	20.943142119375988	13.686825125158702	0	2.0	5.0
478	20.943142119375988	13.686825125158702	0	2.0	5.0
479	20.943142119375988	13.686825125158702	0	2.0	5.0
480	20.943142119375988	13.686825125158702	0	2.0	5.0
481	20.943142119375988	13.686825125158702	0	2.0	5.0
482	20.943142119375988	13.686825125158702	0	2.0	5.0
483	20.943142119375988	13.686825125158702	0	2.0	5.0
484	20.943142119375988	13.686825125158702	0	2.0	5.0
485	20.943142119375988	13.686825125158702	0	2.0	5.0
486	20.943142119375988	13.686825125158702	0	2.0	5.0
487	20.943142119375988	13.686825125158702	0	2.0	5.0
488	20.943142119375988	13.686825125158702	0	2.0	5.0
489	20.943142119375988	13.686825125158702	0	2.0	5.0
490	20.943142119375988	13.686825125158702	0	2.0	5.0
491	20.943142119375988	13.686825125158702	0	2.0	5.0
492	20.943142119375988	13.686825125158702	0	2.0	5.0
493	20.943142119375988	13.686825125158702	0	2.0	5.0
494	20.943142119375988	13.686825125158702	0	2.0	5.0
495	20.943142119375988	13.686825125158702	0	2.0	5.0
496	20.943142119375988	13.686825125158702	0	2.0	5.0
497	20.943142119375988	13.686825125158702	0	2.0	5.0
498	20.943142119375988	13.686825125158702	0	2.0	5.0
499	20.943142119375988	13.686825125158702	0	2.0	5.0
500	20.943142119375988	13.686825125158702	0	2.0	5.0
501	20.943142119375988	13.686825125158702	0	2.0	5.0
502	20.943142119375988	13.686825125158702	0	2.0	5.0
503	20.943142119375988	13.686825125158702	0	2.0	5.0
504	20.943142119375988	13.686825125158702	0	2.0	5.0
505	20.943142119375988	13.686825125158702	0	2.0	5.0
506	20.943142119375988	13.686825125158702	0	2.0	5.0
507	20.943142119375988	13.686825125158702	0	2.0	5.0
508	20.943142119375988	13.686825125158702	0	2.0	5.0
509	20.943142119375988	13.686825125158702	0	2.0	5.0
510	20.943142119375988	13.686825125158702	0	2.0	5.0
511	20.943142119375988	13.686825125158702	0	2.0	5.0
512	20.943142119375988	13.686825125158702	0	2.0	5.0
513	20.943142119375988	13.686825125158702	0	2.0	5.0
514	20.943142119375988	13.686825125158702	0	2.0	5.0
