EpNum	EpSteps	Reward	ener	dist
700	16	69	832.0	0.0
701	7	68	364.0	0.0
702	7	77	364.0	0.0
703	7	87	364.0	0.0
704	7	88	364.0	0.0
705	7	78	364.0	0.0
706	15	70	780.0	0.0
707	7	78	364.0	0.0
708	15	70	780.0	0.0
709	7	77	364.0	0.0
710	15	70	780.0	0.0
711	13	72	676.0	0.0
712	7	78	364.0	0.0
713	15	70	780.0	0.0
714	15	69	780.0	0.0
715	7	77	364.0	0.0
716	8	88	416.0	0.0
717	16	81	832.0	0.0
718	15	69	780.0	0.0
719	7	87	364.0	0.0
720	7	87	364.0	0.0
721	16	78	832.0	0.0
722	7	78	364.0	0.0
723	15	70	780.0	0.0
724	7	77	364.0	0.0
725	7	77	364.0	0.0
726	8	86	416.0	0.0
727	11	84	572.0	0.0
728	8	67	416.0	0.0
729	8	86	416.0	0.0
730	16	79	832.0	0.0
731	7	76	364.0	0.0
732	8	76	416.0	0.0
733	7	78	364.0	0.0
734	15	72	780.0	0.0
735	7	77	364.0	0.0
736	24	73	1248.0	0.0
737	10	85	520.0	0.0
738	8	77	416.0	0.0
739	12	73	624.0	0.0
740	17	79	884.0	0.0
741	7	78	364.0	0.0
742	16	80	832.0	0.0
743	13	51	676.0	0.0
744	7	78	364.0	0.0
745	7	78	364.0	0.0
746	7	78	364.0	0.0
747	8	77	416.0	0.0
748	15	80	780.0	0.0
749	16	81	832.0	0.0
750	15	70	780.0	0.0
751	8	76	416.0	0.0
752	8	87	416.0	0.0
753	16	79	832.0	0.0
754	7	77	364.0	0.0
755	7	77	364.0	0.0
756	8	77	416.0	0.0
757	15	71	780.0	0.0
758	15	81	780.0	0.0
759	15	70	780.0	0.0
760	7	87	364.0	0.0
761	8	87	416.0	0.0
762	13	84	676.0	0.0
763	7	79	364.0	0.0
764	24	62	1248.0	0.0
765	13	72	676.0	0.0
766	7	87	364.0	0.0
767	7	86	364.0	0.0
768	13	82	676.0	0.0
769	7	78	364.0	0.0
770	8	78	416.0	0.0
771	11	76	572.0	0.0
772	15	70	780.0	0.0
773	8	76	416.0	0.0
774	16	69	832.0	0.0
775	7	67	364.0	0.0
776	7	67	364.0	0.0
777	16	59	832.0	0.0
778	7	68	364.0	0.0
779	7	77	364.0	0.0
780	8	77	416.0	0.0
781	11	85	572.0	0.0
782	8	77	416.0	0.0
783	16	70	832.0	0.0
784	15	60	780.0	0.0
785	12	73	624.0	0.0
786	7	88	364.0	0.0
787	7	88	364.0	0.0
788	7	88	364.0	0.0
789	15	81	780.0	0.0
790	7	86	364.0	0.0
